1:51,AM,33,°F,11,°F,40,%,NNW,13,mph,0,mph,30.46,in,0.0,in,Fair
2:51,AM,32,°F,11,°F,42,%,NW,13,mph,0,mph,30.47,in,0.0,in,Fair
3:51,AM,32,°F,10,°F,40,%,NW,9,mph,0,mph,30.47,in,0.0,in,Fair
4:51,AM,31,°F,11,°F,43,%,WNW,13,mph,0,mph,30.51,in,0.0,in,Fair
5:51,AM,31,°F,11,°F,43,%,NW,10,mph,0,mph,30.54,in,0.0,in,Fair
6:51,AM,31,°F,11,°F,43,%,NW,6,mph,0,mph,30.57,in,0.0,in,Fair
7:51,AM,31,°F,12,°F,46,%,NW,6,mph,0,mph,30.60,in,0.0,in,Fair
8:51,AM,33,°F,12,°F,42,%,NW,5,mph,0,mph,30.61,in,0.0,in,Fair
9:51,AM,35,°F,13,°F,40,%,NW,8,mph,0,mph,30.61,in,0.0,in,Fair
10:51,AM,38,°F,14,°F,38,%,0,mph,0,mph,30.62,in,0.0,in,Fair
11:51,AM,40,°F,14,°F,35,%,NW,7,mph,0,mph,30.62,in,0.0,in,Fair
12:51,PM,42,°F,13,°F,31,%,S,6,mph,0,mph,30.61,in,0.0,in,Fair
1:51,PM,43,°F,16,°F,34,%,SSE,10,mph,0,mph,30.57,in,0.0,in,Fair
2:51,PM,43,°F,17,°F,35,%,S,14,mph,21,mph,30.56,in,0.0,in,Partly
3:51,PM,42,°F,19,°F,40,%,SSE,18,mph,0,mph,30.57,in,0.0,in,Mostly
4:51,PM,42,°F,20,°F,41,%,S,16,mph,0,mph,30.56,in,0.0,in,Mostly
5:51,PM,41,°F,22,°F,47,%,S,13,mph,23,mph,30.56,in,0.0,in,Mostly
6:51,PM,41,°F,24,°F,51,%,S,14,mph,0,mph,30.55,in,0.0,in,Mostly
7:51,PM,41,°F,26,°F,55,%,S,12,mph,0,mph,30.55,in,0.0,in,Mostly
8:51,PM,41,°F,28,°F,60,%,S,13,mph,23,mph,30.54,in,0.0,in,Mostly
9:51,PM,41,°F,28,°F,60,%,S,12,mph,21,mph,30.54,in,0.0,in,Mostly
10:51,PM,41,°F,29,°F,62,%,S,9,mph,0,mph,30.54,in,0.0,in,Cloudy
11:51,PM,41,°F,31,°F,67,%,S,10,mph,0,mph,30.51,in,0.0,in,Cloudy
12:51,AM,42,°F,32,°F,67,%,S,8,mph,0,mph,30.51,in,0.0,in,Cloudy
